run_id,phase,env,base_model,shared_epochs,count_epochs,use_dev_pseudo,use_trashnet,use_taco_manual_hook,use_easyocr,infer_num_permutations,do_heavy_second_pass,train_max_side,infer_max_side,heavy_max_side,cv_overall,cv_count,cv_material,cv_object,cv_group_split,public_lb,private_guess,status,notes
R00,Sanity,colab_h100,Qwen3-VL-8B-Instruct,1,0,False,False,False,False,1,False,896,1024,1280,,,,,,,,planned,1 batch smoke test only
R01,SafeBase,colab_h100,Qwen3-VL-8B-Instruct,2,1,False,False,False,False,2,False,1344,1536,1792,,,,,,,,planned,first stable submission
R02,TextPerm,colab_h100,Qwen3-VL-8B-Instruct,2,1,False,False,False,False,4,False,1344,1536,1792,,,,,,,,planned,text prior + permutation
R03,CountPseudo,colab_h100,Qwen3-VL-8B-Instruct,2,1,True,False,False,False,4,False,1344,1536,1792,,,,,,,,planned,dev pseudo mainly for count expert
R04,TrashNet,colab_h100,Qwen3-VL-8B-Instruct,2,1,True,True,False,False,4,False,1344,1536,1792,,,,,,,,planned,material_general boost
R05,Balanced,colab_h100,Qwen3-VL-8B-Instruct,2,1,True,True,False,True,4,True,1344,1536,1792,,,,,,,,planned,main final candidate
R06,Aggressive,colab_h100,Qwen3-VL-8B-Instruct,2,1,True,True,True,True,4,True,1344,1536,1792,,,,,,,,planned,TACO/manual external included
R07,LocalTune,local_cu130,Qwen3-VL-8B-Instruct,1,1,True,True,False,False,2,False,1120,1344,1536,,,,,,,,planned,lightweight tuning on local
R08,Qwen35,colab_h100,Qwen3.5-9B,1,1,True,True,False,True,2,True,1344,1536,1792,,,,,,,,planned,optional ceiling experiment
R09,ConservativeEnsemble,colab_h100,ensemble,-,-,mixed,mixed,mixed,mixed,2,False,-,-,-,,,,,,,,planned,shared+count+text only
R10,BalancedEnsemble,colab_h100,ensemble,-,-,mixed,mixed,mixed,mixed,4,True,-,-,-,,,,,,,,planned,main recommended final submission
R11,AggressiveEnsemble,colab_h100,ensemble,-,-,mixed,mixed,mixed,mixed,4,True,-,-,-,,,,,,,,planned,public LB probing candidate
